,id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,production
1342,11006,tt0076729,0.541642,0,126737428,Smokey and the Bandit,Burt Reynolds|Sally Field|Jerry Reed|Jackie Gleason|Mike Henry,,Hal Needham,What we have here is a total lack of respect for the law!,sheriff|bride|smuggling|road movie,"A race car driver tries to transport an illegal beer shipment from Texas to Atlanta in under 28 hours, picking up a reluctant bride-to-be on the way.",96,Action|Adventure|Comedy,Universal Pictures,1977-05-26,93,6.9,1977,0.0,455973514.575,Universal Pictures
1347,11590,tt0076723,0.407317,0,28000000,Slap Shot,Paul Newman|Strother Martin|Michael Ontkean|Jennifer Warren|Lindsay Crouse,,George Roy Hill,Slap Shot out slaps... out swears... out laughs...,small town|sport|ice hockey|violence|team owner,"Located in the US Rust Belt, Charlestown is home of the hapless Chiefs, a losing Federal League hockey team whose games are poorly attended. To make money, the team's unknown owner makes its manager, Joe McGrath, do cheesy publicity much to the players' chagrin. Rumors abound among the players that if the local mill closes, the team will fold. Just before the official announcement is made, the team's aging player/coach, Reggie Dunlop, does get wind that the mill is indeed closing and that this season will be the team's last. Beyond efforts to reconcile with his wife Francine, who loves Reggie but doesn't love his career, Reggie begins to focus on how to renew interest in the team for a possible sale as he knows if the team folds, his hockey career is over. Without telling anyone of his plan, he begins a rumor that the owner is negotiating a sale with a city in Florida.",123,Drama|Comedy,Universal Pictures,1977-02-25,49,7.3,1977,0.0,100737868.912,Universal Pictures
1352,7227,tt0075648,0.373131,6000000,30000000,Airport '77,Jack Lemmon|Lee Grant|Brenda Vaccaro|Joseph Cotten|Olivia de Havilland,,Jerry Jameson,"Flight 23 has crashed in the Bermuda Triangle... passengers still alive, trapped underwater...",stewardess|pilot|hijacking|painting|boeing 747,Flight 23 has crashed in the Bermuda Triangle while taking VIPs and valuable art to Philip Stevens new museum. But when hijackers take off the plane and knock everyone out with sleeping gas the plane crashes in the sea. The passengers survive but a small hole at the front is flooding the plane and 2 daring rescues must be put into action because everyone is trapped 200 feet underwater.,114,Action|Adventure|Drama|Thriller,Universal Pictures,1977-03-11,25,5.7,1977,21586686.1954,107933430.977,Universal Pictures
1359,50374,tt0075765,0.280166,0,0,Black Sunday,Robert Shaw|Bruce Dern|Marthe Keller|Fritz Weaver|Steven Keats,,John Frankenheimer,It could be tomorrow!,thriller|american football stadium|dirigible,An Israeli anti-terrorist agent must stop a disgruntled Vietnam vet cooperating in a plot to commit a terrorist plot at the Super Bowl.,143,Action|Adventure|Drama|Thriller,Paramount Pictures,1977-03-11,13,6.1,1977,0.0,0.0,Paramount Pictures
1364,38985,tt0076740,0.219941,22000000,12000000,Sorcerer,Roy Scheider|Bruno Cremer|Francisco Rabal|Amidou|Ramon Bieri,,William Friedkin,WANTED. Four men willing to drive a cargo of death to escape a life in hell.,dynamite|car journey|nicaragua|criminal|explosives,Four exiled international criminals on the run hide out in a remote Nicaraguan village whose economy is dependent on an oil company. An oil well 200 miles away catches fire and can be extinguished only with explosives. The criminals are given a chance to earn a great deal of money by transporting highly volatile and sensitive explosives through hazardous and rugged terrain full of obstacles and danger.,121,Action|Thriller|Adventure,Paramount Pictures|Universal Pictures|Film Properties International N.V.,1977-06-24,48,7.4,1977,79151182.7165,43173372.3908,Paramount Pictures
1364,38985,tt0076740,0.219941,22000000,12000000,Sorcerer,Roy Scheider|Bruno Cremer|Francisco Rabal|Amidou|Ramon Bieri,,William Friedkin,WANTED. Four men willing to drive a cargo of death to escape a life in hell.,dynamite|car journey|nicaragua|criminal|explosives,Four exiled international criminals on the run hide out in a remote Nicaraguan village whose economy is dependent on an oil company. An oil well 200 miles away catches fire and can be extinguished only with explosives. The criminals are given a chance to earn a great deal of money by transporting highly volatile and sensitive explosives through hazardous and rugged terrain full of obstacles and danger.,121,Action|Thriller|Adventure,Paramount Pictures|Universal Pictures|Film Properties International N.V.,1977-06-24,48,7.4,1977,79151182.7165,43173372.3908,Universal Pictures
1369,24655,tt0075809,0.163315,0,0,The Car,James Brolin|Kathleen Lloyd|John Marley|R. G. Armstrong|Doris Dowling,,Elliot Silverstein,What evil drives...,small town|supernatural|suspense|desert,"The film is set in the fictional Utah community of Santa Ynez, which is being terrorized by a mysterious black coupe that appears out of nowhere and begins running people down. After the car kills off the town's Sheriff (John Marley), it becomes the job of Captain Wade Parent (James Brolin) to stop the murderous driver.",96,Horror|Mystery,Universal Pictures,1977-05-12,24,6.2,1977,0.0,0.0,Universal Pictures
1371,10670,tt0076636,0.15041,0,0,Rollercoaster,George Segal|Richard Widmark|Timothy Bottoms|Henry Fonda|Susan Strasberg,,James Goldstone,Watch out for the Man watching the Rollercoaster,bomb|terrorist|fbi|blackmail|investigation,The plot is about a guile young terrorist who is able to blackmail a series of companies by placing home-made radio controlled bombs within the central attraction of amusement parks; roller coasters. The young man played by Timothy Bottoms gives a hard time to the cops after they give him UV marked money. He then wants revenge and places a bomb in a roller coaster at the most important amusement park event of the year.,119,Action|Thriller,Universal Pictures,1977-06-10,10,6.0,1977,0.0,0.0,Universal Pictures
1380,18196,tt0076683,0.097126,0,3,The Sentinel,Chris Sarandon|Cristina Raines|Martin Balsam|José Ferrer|Burgess Meredith,,Michael Winner,She's living in the gateway to hell.,secret society|hell|hellgate|model|demon,"A commitment-shy New York fashion model moves into an old brownstone apartment, meets her weird neighbours and discovers she’s sitting on the gateway to Hell.",92,Horror|Drama|Mystery,Universal Pictures,1977-01-07,14,6.3,1977,0.0,10.7933430977,Universal Pictures
1387,16869,tt0361748,6.098027,70000000,319131050,Inglourious Basterds,Brad Pitt|Mélanie Laurent|Christoph Waltz|Eli Roth|Michael Fassbender,http://www.inglouriousbasterds-movie.com/,Quentin Tarantino,Once upon a time in Nazi occupied France...,paris|guerilla|cinema|self sacrifice|dynamite,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",153,Drama|Action|Thriller|War,Universal Pictures|A Band Apart|Zehnte Babelsberg|Visiona Romantica,2009-08-18,3969,7.7,2009,71148030.3887,324364937.763,Universal Pictures
1391,13475,tt0796366,3.82957,150000000,385680446,Star Trek,Chris Pine|Zachary Quinto|Leonard Nimoy|Eric Bana|Bruce Greenwood,,J.J. Abrams,The future begins.,spacecraft|teleportation|space mission|parachute|time travel,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",127,Science Fiction|Action|Adventure,Paramount Pictures|Spyglass Entertainment|Bad Robot|MavroCine Pictures GmbH & Co. KG,2009-05-06,3417,7.3,2009,152460065.119,392005772.748,Paramount Pictures
1398,13183,tt0409459,3.038063,130000000,185258983,Watchmen,Malin Åkerman|Billy Crudup|Carla Gugino|Jeffrey Dean Morgan|Patrick Wilson,,Zack Snyder,Justice is coming to all of us.  No matter what we do.,dc comics|secret identity|mass murder|retirement|based on comic book,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.",162,Action|Mystery|Science Fiction,Paramount Pictures|DC Comics|Lawrence Gordon Productions|Legendary Pictures|Warner Bros.,2009-03-05,1751,6.8,2009,132132056.436,188297310.747,Paramount Pictures
1407,14869,tt1046173,1.906998,175000000,302469017,G.I. Joe: The Rise of Cobra,Dennis Quaid|Channing Tatum|Marlon Wayans|Sienna Miller|Joseph Gordon-Levitt,http://www.gijoemovie.com/,Stephen Sommers,"When all else fails, they don't.",terrorist|secret|hostage|technology|warhead,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",118,Adventure|Action|Thriller|Science Fiction,Paramount Pictures|Spyglass Entertainment|Di Bonaventura Pictures|Hasbro|Kontsept Film Company,2009-08-04,1470,5.7,2009,177870075.972,307429640.188,Paramount Pictures
1426,16871,tt1127180,1.398364,30000000,90842646,Drag Me to Hell,Alison Lohman|Justin Long|Lorna Raver|Dileep Rao|David Paymer,http://www.dragmetohell.net/,Sam Raimi,"Christine Brown has a good job, a great boyfriend, and a bright future. But in three days, she's going to hell.",curse|psychologist|co-worker|psychic|button,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.",99,Horror|Thriller,Universal Pictures|Ghost House Pictures|Mandate Pictures|Buckaroo Entertainment|Curse Productions,2009-03-15,498,6.1,2009,30492013.0237,92332504.8315,Universal Pictures
1439,19899,tt1078940,1.232312,70000000,171844840,Couples Retreat,Vince Vaughn|Malin Åkerman|Jason Bateman|Kristen Bell|Jon Favreau,http://www.couplesretreatmovie.com/,Peter Billingsley,It may be paradise... but it's no vacation.,island|married couple|yoga|tahiti|couples therapy,"Four couples, all friends, descend on a tropical island resort. Though one husband and wife are there to work on their marriage, the others just want to enjoy some fun in the sun. They soon find, however, that paradise comes at a price: Participation in couples therapy sessions is mandatory. What started out as a cut-rate vacation turns into an examination of the common problems many face.",113,Comedy|Romance,Universal Pictures|Wild West Picture Show Productions|Stuber Productions|Relativity Media,2009-09-19,372,5.3,2009,71148030.3887,174663169.978,Universal Pictures
1446,11322,tt1152836,1.138277,80000000,214104620,Public Enemies,Christian Bale|Johnny Depp|Giovanni Ribisi|Billy Crudup|Marion Cotillard,http://www.publicenemies.net/,Michael Mann,America's Most Wanted.,cinema|hiding place|machinegun|prison guard|escape from prison,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",140,History|Crime|Drama,Universal Pictures|Appian Way|Forward Pass|Dentsu|Relativity Media,2009-07-01,853,6.5,2009,81312034.73,217616028.716,Universal Pictures
1456,16995,tt0473705,1.043738,60000000,87784194,State of Play,Russell Crowe|Ben Affleck|Rachel McAdams|Robin Wright|Jason Bateman,http://www.stateofplaymovie.net/,Kevin Macdonald,Find The Truth,corruption|assassination|detective|journalist|assassin,"Handsome, unflappable U.S. Congressman Stephen Collins is the future of his political party: an honorable appointee who serves as the chairman of a committee overseeing defense spending. All eyes are upon the rising star to be his party's contender for the upcoming presidential race. Until his research assistant/mistress is brutally murdered and buried secrets come tumbling out.",127,Action,Universal Pictures|StudioCanal|Andell Entertainment|Relativity Media|Working Title Films,2009-04-17,257,6.6,2009,60984026.0475,89223892.8909,Universal Pictures
1463,18947,tt1131729,0.967776,50000000,36348784,The Boat That Rocked,Tom Sturridge|Philip Seymour Hoffman|Rhys Ifans|Bill Nighy|Emma Thompson,http://www.theboatthatrocked.net/,Richard Curtis,On air. Off shore. Out of control.,great britain|musical|rock|pirate radio|swinging 60s,"The Boat that Rocked is an ensemble comedy, where the romance is between the young people of the 60s, and pop music. It's about a band of DJs that captivate Britain, playing the music that defines a generation and standing up to a government that, incomprehensibly, prefers jazz.",116,Drama|Comedy,Universal Pictures|Studio Canal|Working Title Films|Medienproduktion Prometheus Filmgesellschaft|Portobello Studios,2009-04-01,392,7.1,2009,50820021.7062,36944919.8375,Universal Pictures
